Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,44 years,44,Female,F,2013,2013,2089651
,44 years,44,Female,F,2014,2014,2199325
,44 years,44,Female,F,2015,2015,2180067
,44 years,44,Female,F,2016,2016,2061451
,44 years,44,Female,F,2017,2017,1976273
,44 years,44,Female,F,2018,2018,1942802
Total,44 years,44,Female,F,,,43594235
,44 years,44,Male,M,1999,1999,2106941
,44 years,44,Male,M,2000,2000,2127813
,44 years,44,Male,M,2001,2001,2208570
,44 years,44,Male,M,2002,2002,2233678
,44 years,44,Male,M,2003,2003,2223641
,44 years,44,Male,M,2004,2004,2323552
,44 years,44,Male,M,2005,2005,2264181
,44 years,44,Male,M,2006,2006,2242649
,44 years,44,Male,M,2007,2007,2228489
,44 years,44,Male,M,2008,2008,2238412
,44 years,44,Male,M,2009,2009,2213137
,44 years,44,Male,M,2010,2010,2074347
,44 years,44,Male,M,2011,2011,2027001
,44 years,44,Male,M,2012,2012,2025279
,44 years,44,Male,M,2013,2013,2064715
,44 years,44,Male,M,2014,2014,2178426
,44 years,44,Male,M,2015,2015,2140291
,44 years,44,Male,M,2016,2016,2023807
,44 years,44,Male,M,2017,2017,1931620
,44 years,44,Male,M,2018,2018,1908353
Total,44 years,44,Male,M,,,42784902
Total,44 years,44,,,,,86379137
,45 years,45,Female,F,1999,1999,2146028
,45 years,45,Female,F,2000,2000,2188420
,45 years,45,Female,F,2001,2001,2180011
,45 years,45,Female,F,2002,2002,2260411
,45 years,45,Female,F,2003,2003,2275557
,45 years,45,Female,F,2004,2004,2271294
,45 years,45,Female,F,2005,2005,2352677
,45 years,45,Female,F,2006,2006,2318320
,45 years,45,Female,F,2007,2007,2286767
,45 years,45,Female,F,2008,2008,2280805
,45 years,45,Female,F,2009,2009,2282194
,45 years,45,Female,F,2010,2010,2236450
,45 years,45,Female,F,2011,2011,2102614
,45 years,45,Female,F,2012,2012,2061261
,45 years,45,Female,F,2013,2013,2049571
,45 years,45,Female,F,2014,2014,2088943
,45 years,45,Female,F,2015,2015,2198840
,45 years,45,Female,F,2016,2016,2179737
,45 years,45,Female,F,2017,2017,2060652
,45 years,45,Female,F,2018,2018,1975992
Total,45 years,45,Female,F,,,43796544
,45 years,45,Male,M,1999,1999,2099854
,45 years,45,Male,M,2000,2000,2146851
,45 years,45,Male,M,2001,2001,2121944
,45 years,45,Male,M,2002,2002,2200968
,45 years,45,Male,M,2003,2003,2224414
,45 years,45,Male,M,2004,2004,2215272
,45 years,45,Male,M,2005,2005,2314057
,45 years,45,Male,M,2006,2006,2255226
,45 years,45,Male,M,2007,2007,2233025
,45 years,45,Male,M,2008,2008,2218446
,45 years,45,Male,M,2009,2009,2227071
,45 years,45,Male,M,2010,2010,2201662
,45 years,45,Male,M,2011,2011,2069350
,45 years,45,Male,M,2012,2012,2023312
,45 years,45,Male,M,2013,2013,2020951
,45 years,45,Male,M,2014,2014,2060846
,45 years,45,Male,M,2015,2015,2175121
,45 years,45,Male,M,2016,2016,2136459
,45 years,45,Male,M,2017,2017,2019696
,45 years,45,Male,M,2018,2018,1928049
Total,45 years,45,Male,M,,,42892574
Total,45 years,45,,,,,86689118
,46 years,46,Female,F,1999,1999,2031823
,46 years,46,Female,F,2000,2000,2109380
,46 years,46,Female,F,2001,2001,2188271
,46 years,46,Female,F,2002,2002,2180913
,46 years,46,Female,F,2003,2003,2262137
,46 years,46,Female,F,2004,2004,2278419
,46 years,46,Female,F,2005,2005,2276013
,46 years,46,Female,F,2006,2006,2359182
,46 years,46,Female,F,2007,2007,2325773
,46 years,46,Female,F,2008,2008,2295486
,46 years,46,Female,F,2009,2009,2290719
,46 years,46,Female,F,2010,2010,2290734
,46 years,46,Female,F,2011,2011,2234389
,46 years,46,Female,F,2012,2012,2100654
,46 years,46,Female,F,2013,2013,2059382
,46 years,46,Female,F,2014,2014,2048239
,46 years,46,Female,F,2015,2015,2087887
,46 years,46,Female,F,2016,2016,2197663
,46 years,46,Female,F,2017,2017,2177858
,46 years,46,Female,F,2018,2018,2059393
Total,46 years,46,Female,F,,,43854315
,46 years,46,Male,M,1999,1999,1963127
,46 years,46,Male,M,2000,2000,2045796
,46 years,46,Male,M,2001,2001,2143311
,46 years,46,Male,M,2002,2002,2120188
,46 years,46,Male,M,2003,2003,2200290
,46 years,46,Male,M,2004,2004,2227648
,46 years,46,Male,M,2005,2005,2220792
,46 years,46,Male,M,2006,2006,2322962
,46 years,46,Male,M,2007,2007,2266159
,46 years,46,Male,M,2008,2008,2245998
,46 years,46,Male,M,2009,2009,2232877
,46 years,46,Male,M,2010,2010,2238568
,46 years,46,Male,M,2011,2011,2195758
,46 years,46,Male,M,2012,2012,2064659
,46 years,46,Male,M,2013,2013,2018335
,46 years,46,Male,M,2014,2014,2016231
,46 years,46,Male,M,2015,2015,2056693
,46 years,46,Male,M,2016,2016,2170380
,46 years,46,Male,M,2017,2017,2131223
,46 years,46,Male,M,2018,2018,2015066
Total,46 years,46,Male,M,,,42896061
Total,46 years,46,,,,,86750376
,47 years,47,Female,F,1999,1999,2002180
,47 years,47,Female,F,2000,2000,2047037
,47 years,47,Female,F,2001,2001,2109830
,47 years,47,Female,F,2002,2002,2189603
,47 years,47,Female,F,2003,2003,2183207
,47 years,47,Female,F,2004,2004,2265496
,47 years,47,Female,F,2005,2005,2283353
,47 years,47,Female,F,2006,2006,2282479
,47 years,47,Female,F,2007,2007,2367220
,47 years,47,Female,F,2008,2008,2334953
,47 years,47,Female,F,2009,2009,2305711
,47 years,47,Female,F,2010,2010,2297344
,47 years,47,Female,F,2011,2011,2287754
,47 years,47,Female,F,2012,2012,2231689
,47 years,47,Female,F,2013,2013,2098294
,47 years,47,Female,F,2014,2014,2057526
,47 years,47,Female,F,2015,2015,2046627
,47 years,47,Female,F,2016,2016,2086209
,47 years,47,Female,F,2017,2017,2195215
,47 years,47,Female,F,2018,2018,2175691
Total,47 years,47,Female,F,,,43847418
,47 years,47,Male,M,1999,1999,1934967
,47 years,47,Male,M,2000,2000,1978294
,47 years,47,Male,M,2001,2001,2042517
,47 years,47,Male,M,2002,2002,2140507
,47 years,47,Male,M,2003,2003,2117276
,47 years,47,Male,M,2004,2004,2199700
,47 years,47,Male,M,2005,2005,2228342
,47 years,47,Male,M,2006,2006,2223663
,47 years,47,Male,M,2007,2007,2326976
,47 years,47,Male,M,2008,2008,2271170
,47 years,47,Male,M,2009,2009,2251625
,47 years,47,Male,M,2010,2010,2237752
,47 years,47,Male,M,2011,2011,2231572
,47 years,47,Male,M,2012,2012,2189757
,47 years,47,Male,M,2013,2013,2058787
,47 years,47,Male,M,2014,2014,2013213
,47 years,47,Male,M,2015,2015,2011534
,47 years,47,Male,M,2016,2016,2051606
,47 years,47,Male,M,2017,2017,2164250
,47 years,47,Male,M,2018,2018,2125627
Total,47 years,47,Male,M,,,42799135
Total,47 years,47,,,,,86646553
,48 years,48,Female,F,1999,1999,1889850
,48 years,48,Female,F,2000,2000,1981820
,48 years,48,Female,F,2001,2001,2046074
,48 years,48,Female,F,2002,2002,2107972
,48 years,48,Female,F,2003,2003,2186886
,48 years,48,Female,F,2004,2004,2179769
,48 years,48,Female,F,2005,2005,2261293
,48 years,48,Female,F,2006,2006,2278808
,48 years,48,Female,F,2007,2007,2277094
,48 years,48,Female,F,2008,2008,2360935
,48 years,48,Female,F,2009,2009,2327859
,48 years,48,Female,F,2010,2010,2299176
,48 years,48,Female,F,2011,2011,2293610
,48 years,48,Female,F,2012,2012,2284357
,48 years,48,Female,F,2013,2013,2228473
,48 years,48,Female,F,2014,2014,2095569
,48 years,48,Female,F,2015,2015,2055039
,48 years,48,Female,F,2016,2016,2044309
,48 years,48,Female,F,2017,2017,2083247
,48 years,48,Female,F,2018,2018,2192223
Total,48 years,48,Female,F,,,43474363
,48 years,48,Male,M,1999,1999,1820806
,48 years,48,Male,M,2000,2000,1916575
,48 years,48,Male,M,2001,2001,1972847
,48 years,48,Male,M,2002,2002,2035358
,48 years,48,Male,M,2003,2003,2131053
,48 years,48,Male,M,2004,2004,2107717
,48 years,48,Male,M,2005,2005,2188567
,48 years,48,Male,M,2006,2006,2216534
,48 years,48,Male,M,2007,2007,2210559
,48 years,48,Male,M,2008,2008,2312020
,48 years,48,Male,M,2009,2009,2254796
,48 years,48,Male,M,2010,2010,2235091
,48 years,48,Male,M,2011,2011,2229442
,48 years,48,Male,M,2012,2012,2224095
,48 years,48,Male,M,2013,2013,2182319
,48 years,48,Male,M,2014,2014,2052376
,48 years,48,Male,M,2015,2015,2007604
,48 years,48,Male,M,2016,2016,2005602
,48 years,48,Male,M,2017,2017,2044963
,48 years,48,Male,M,2018,2018,2157491
Total,48 years,48,Male,M,,,42305815
Total,48 years,48,,,,,85780178
,49 years,49,Female,F,1999,1999,1917853
,49 years,49,Female,F,2000,2000,1939477
,49 years,49,Female,F,2001,2001,1981763
,49 years,49,Female,F,2002,2002,2046892
,49 years,49,Female,F,2003,2003,2109478
,49 years,49,Female,F,2004,2004,2189528
,49 years,49,Female,F,2005,2005,2183752
,49 years,49,Female,F,2006,2006,2266666
,49 years,49,Female,F,2007,2007,2285359
,49 years,49,Female,F,2008,2008,2284804
,49 years,49,Female,F,2009,2009,2370091
,49 years,49,Female,F,2010,2010,2336444
,49 years,49,Female,F,2011,2011,2294674
,49 years,49,Female,F,2012,2012,2289396
,49 years,49,Female,F,2013,2013,2280204
,49 years,49,Female,F,2014,2014,2224747
,49 years,49,Female,F,2015,2015,2092370
,49 years,49,Female,F,2016,2016,2051959
,49 years,49,Female,F,2017,2017,2040772
,49 years,49,Female,F,2018,2018,2079841
Total,49 years,49,Female,F,,,43266070
,49 years,49,Male,M,1999,1999,1847719
,49 years,49,Male,M,2000,2000,1865877
,49 years,49,Male,M,2001,2001,1912415
,49 years,49,Male,M,2002,2002,1969476
,49 years,49,Male,M,2003,2003,2032378
,49 years,49,Male,M,2004,2004,2130419
,49 years,49,Male,M,2005,2005,2108325
,49 years,49,Male,M,2006,2006,2191446
,49 years,49,Male,M,2007,2007,2220829
,49 years,49,Male,M,2008,2008,2216356
,49 years,49,Male,M,2009,2009,2319302
,49 years,49,Male,M,2010,2010,2262232
,49 years,49,Male,M,2011,2011,2225712
,49 years,49,Male,M,2012,2012,2220810
,49 years,49,Male,M,2013,2013,2215408
,49 years,49,Male,M,2014,2014,2174363
,49 years,49,Male,M,2015,2015,2045463
,49 years,49,Male,M,2016,2016,2000754
,49 years,49,Male,M,2017,2017,1998310
,49 years,49,Male,M,2018,2018,2037762
Total,49 years,49,Male,M,,,41995356
Total,49 years,49,,,,,85261426
,50 years,50,Female,F,1999,1999,1915145
,50 years,50,Female,F,2000,2000,1933735
,50 years,50,Female,F,2001,2001,1937183
,50 years,50,Female,F,2002,2002,1978124
,50 years,50,Female,F,2003,2003,2041746
,50 years,50,Female,F,2004,2004,2102958
,50 years,50,Female,F,2005,2005,2181791
,50 years,50,Female,F,2006,2006,2175011
,50 years,50,Female,F,2007,2007,2256393
,50 years,50,Female,F,2008,2008,2273904
,50 years,50,Female,F,2009,2009,2271859
,50 years,50,Female,F,2010,2010,2355136
,50 years,50,Female,F,2011,2011,2330997
,50 years,50,Female,F,2012,2012,2289705
,50 years,50,Female,F,2013,2013,2284421
,50 years,50,Female,F,2014,2014,2275340
,50 years,50,Female,F,2015,2015,2220181
,50 years,50,Female,F,2016,2016,2088279
,50 years,50,Female,F,2017,2017,2047426
,50 years,50,Female,F,2018,2018,2036538
Total,50 years,50,Female,F,,,42995872
,50 years,50,Male,M,1999,1999,1847555
,50 years,50,Male,M,2000,2000,1866324
,50 years,50,Male,M,2001,2001,1858963
,50 years,50,Male,M,2002,2002,1902885
,50 years,50,Male,M,2003,2003,1957066
,50 years,50,Male,M,2004,2004,2018146
,50 years,50,Male,M,2005,2005,2113557
,50 years,50,Male,M,2006,2006,2089893
,50 years,50,Male,M,2007,2007,2170086
,50 years,50,Male,M,2008,2008,2197224
,50 years,50,Male,M,2009,2009,2190333
,50 years,50,Male,M,2010,2010,2290656
,50 years,50,Male,M,2011,2011,2251649
,50 years,50,Male,M,2012,2012,2216015
,50 years,50,Male,M,2013,2013,2210678
,50 years,50,Male,M,2014,2014,2205872
,50 years,50,Male,M,2015,2015,2165544
,50 years,50,Male,M,2016,2016,2036876
,50 years,50,Male,M,2017,2017,1992020
,50 years,50,Male,M,2018,2018,1989936
Total,50 years,50,Male,M,,,41571278
Total,50 years,50,,,,,84567150
,51 years,51,Female,F,1999,1999,1839362
,51 years,51,Female,F,2000,2000,1869897
,51 years,51,Female,F,2001,2001,1933991
,51 years,51,Female,F,2002,2002,1939473
,51 years,51,Female,F,2003,2003,1982259
,51 years,51,Female,F,2004,2004,2048324
,51 years,51,Female,F,2005,2005,2112391
,51 years,51,Female,F,2006,2006,2194302
,51 years,51,Female,F,2007,2007,2189912
,51 years,51,Female,F,2008,2008,2274367
,51 years,51,Female,F,2009,2009,2294505
,51 years,51,Female,F,2010,2010,2289010
,51 years,51,Female,F,2011,2011,2349145
,51 years,51,Female,F,2012,2012,2325236
,51 years,51,Female,F,2013,2013,2283695
,51 years,51,Female,F,2014,2014,2278579
,51 years,51,Female,F,2015,2015,2269811
,51 years,51,Female,F,2016,2016,2214916
,51 years,51,Female,F,2017,2017,2082919
,51 years,51,Female,F,2018,2018,2042479
Total,51 years,51,Female,F,,,42814573
,51 years,51,Male,M,1999,1999,1762492
,51 years,51,Male,M,2000,2000,1793558
,51 years,51,Male,M,2001,2001,1862989
,51 years,51,Male,M,2002,2002,1857726
,51 years,51,Male,M,2003,2003,1903885
,51 years,51,Male,M,2004,2004,1961738
,51 years,51,Male,M,2005,2005,2026203
,51 years,51,Male,M,2006,2006,2125890
,51 years,51,Male,M,2007,2007,2105021
,51 years,51,Male,M,2008,2008,2189639
,51 years,51,Male,M,2009,2009,2220328
,51 years,51,Male,M,2010,2010,2209609
,51 years,51,Male,M,2011,2011,2278980
,51 years,51,Male,M,2012,2012,2240246
,51 years,51,Male,M,2013,2013,2204455
,51 years,51,Male,M,2014,2014,2199644
,51 years,51,Male,M,2015,2015,2195423
,51 years,51,Male,M,2016,2016,2155255
,51 years,51,Male,M,2017,2017,2027025
,51 years,51,Male,M,2018,2018,1982590
Total,51 years,51,Male,M,,,41302696
Total,51 years,51,,,,,84117269
,52 years,52,Female,F,1999,1999,1972464
,52 years,52,Female,F,2000,2000,1857375
,52 years,52,Female,F,2001,2001,1867556
,52 years,52,Female,F,2002,2002,1930904
,52 years,52,Female,F,2003,2003,1935134
,52 years,52,Female,F,2004,2004,1976684
,52 years,52,Female,F,2005,2005,2041805
,52 years,52,Female,F,2006,2006,2104762
,52 years,52,Female,F,2007,2007,2185395
,52 years,52,Female,F,2008,2008,2179899
,52 years,52,Female,F,2009,2009,2262914
,52 years,52,Female,F,2010,2010,2283257
,52 years,52,Female,F,2011,2011,2282375
,52 years,52,Female,F,2012,2012,2342387
,52 years,52,Female,F,2013,2013,2318221
,52 years,52,Female,F,2014,2014,2277097
,52 years,52,Female,F,2015,2015,2272289
,52 years,52,Female,F,2016,2016,2263807
,52 years,52,Female,F,2017,2017,2208636
,52 years,52,Female,F,2018,2018,2077402
Total,52 years,52,Female,F,,,42640363
,52 years,52,Male,M,1999,1999,1900702
,52 years,52,Male,M,2000,2000,1780544
,52 years,52,Male,M,2001,2001,1786849
,52 years,52,Male,M,2002,2002,1854284
,52 years,52,Male,M,2003,2003,1846875
,52 years,52,Male,M,2004,2004,1891504
,52 years,52,Male,M,2005,2005,1947260
,52 years,52,Male,M,2006,2006,2010094
,52 years,52,Male,M,2007,2007,2107225
,52 years,52,Male,M,2008,2008,2084700
,52 years,52,Male,M,2009,2009,2166314
,52 years,52,Male,M,2010,2010,2196979
,52 years,52,Male,M,2011,2011,2197076
,52 years,52,Male,M,2012,2012,2266381
,52 years,52,Male,M,2013,2013,2227525
,52 years,52,Male,M,2014,2014,2192495
,52 years,52,Male,M,2015,2015,2188213
,52 years,52,Male,M,2016,2016,2183985
,52 years,52,Male,M,2017,2017,2143940
,52 years,52,Male,M,2018,2018,2016677
Total,52 years,52,Male,M,,,40989622
Total,52 years,52,,,,,83629985
,53 years,53,Female,F,1999,1999,1430150
,53 years,53,Female,F,2000,2000,1947877
,53 years,53,Female,F,2001,2001,1855738
,53 years,53,Female,F,2002,2002,1867431
,53 years,53,Female,F,2003,2003,1931805
,53 years,53,Female,F,2004,2004,1937112
,53 years,53,Female,F,2005,2005,1980116
,53 years,53,Female,F,2006,2006,2046556
,53 years,53,Female,F,2007,2007,2110678
,53 years,53,Female,F,2008,2008,2192990
,53 years,53,Female,F,2009,2009,2188666
,53 years,53,Female,F,2010,2010,2268320
,53 years,53,Female,F,2011,2011,2276086
,53 years,53,Female,F,2012,2012,2275126
,53 years,53,Female,F,2013,2013,2334982
,53 years,53,Female,F,2014,2014,2310893
,53 years,53,Female,F,2015,2015,2270192
,53 years,53,Female,F,2016,2016,2265449
,53 years,53,Female,F,2017,2017,2256662
,53 years,53,Female,F,2018,2018,2201960
Total,53 years,53,Female,F,,,41948789
,53 years,53,Male,M,1999,1999,1355175
,53 years,53,Male,M,2000,2000,1868259
,53 years,53,Male,M,2001,2001,1775276
,53 years,53,Male,M,2002,2002,1782978
,53 years,53,Male,M,2003,2003,1851585
,53 years,53,Male,M,2004,2004,1845760
,53 years,53,Male,M,2005,2005,1891790
,53 years,53,Male,M,2006,2006,1949539
,53 years,53,Male,M,2007,2007,2014300
,53 years,53,Male,M,2008,2008,2113819
,53 years,53,Male,M,2009,2009,2092799
,53 years,53,Male,M,2010,2010,2170772
,53 years,53,Male,M,2011,2011,2183189
,53 years,53,Male,M,2012,2012,2183683
,53 years,53,Male,M,2013,2013,2252624
,53 years,53,Male,M,2014,2014,2214176
,53 years,53,Male,M,2015,2015,2179737
,53 years,53,Male,M,2016,2016,2175310
,53 years,53,Male,M,2017,2017,2170769
,53 years,53,Male,M,2018,2018,2131415
Total,53 years,53,Male,M,,,40202955
Total,53 years,53,,,,,82151744
,54 years,54,Female,F,1999,1999,1487450
,54 years,54,Female,F,2000,2000,1467178
,54 years,54,Female,F,2001,2001,1946664
,54 years,54,Female,F,2002,2002,1855880
,54 years,54,Female,F,2003,2003,1868710
,54 years,54,Female,F,2004,2004,1934545
,54 years,54,Female,F,2005,2005,1941338
,54 years,54,Female,F,2006,2006,1985489
,54 years,54,Female,F,2007,2007,2053371
,54 years,54,Female,F,2008,2008,2119393
,54 years,54,Female,F,2009,2009,2203336
,54 years,54,Female,F,2010,2010,2196662
,54 years,54,Female,F,2011,2011,2260522
,54 years,54,Female,F,2012,2012,2268244
,54 years,54,Female,F,2013,2013,2267184
,54 years,54,Female,F,2014,2014,2327063
,54 years,54,Female,F,2015,2015,2303265
,54 years,54,Female,F,2016,2016,2262688
,54 years,54,Female,F,2017,2017,2257465
,54 years,54,Female,F,2018,2018,2248978
Total,54 years,54,Female,F,,,41255425
,54 years,54,Male,M,1999,1999,1413117
,54 years,54,Male,M,2000,2000,1394700
,54 years,54,Male,M,2001,2001,1862076
,54 years,54,Male,M,2002,2002,1770221
,54 years,54,Male,M,2003,2003,1778213
,54 years,54,Male,M,2004,2004,1847897
,54 years,54,Male,M,2005,2005,1842482
,54 years,54,Male,M,2006,2006,1889337
,54 years,54,Male,M,2007,2007,1947797
,54 years,54,Male,M,2008,2008,2013539
,54 years,54,Male,M,2009,2009,2113789
,54 years,54,Male,M,2010,2010,2091480
,54 years,54,Male,M,2011,2011,2155935
,54 years,54,Male,M,2012,2012,2168911
,54 years,54,Male,M,2013,2013,2169210
,54 years,54,Male,M,2014,2014,2237870
,54 years,54,Male,M,2015,2015,2199599
,54 years,54,Male,M,2016,2016,2165344
,54 years,54,Male,M,2017,2017,2160713
,54 years,54,Male,M,2018,2018,2156589
Total,54 years,54,Male,M,,,39378819
Total,54 years,54,,,,,80634244
,55 years,55,Female,F,1999,1999,1468560
,55 years,55,Female,F,2000,2000,1465581
,55 years,55,Female,F,2001,2001,1464238
,55 years,55,Female,F,2002,2002,1940351
,55 years,55,Female,F,2003,2003,1848350
,55 years,55,Female,F,2004,2004,1859415
,55 years,55,Female,F,2005,2005,1923637
,55 years,55,Female,F,2006,2006,1928603
,55 years,55,Female,F,2007,2007,1970420
,55 years,55,Female,F,2008,2008,2035932
,55 years,55,Female,F,2009,2009,2099236
,55 years,55,Female,F,2010,2010,2183579
,55 years,55,Female,F,2011,2011,2188320
,55 years,55,Female,F,2012,2012,2252044
,55 years,55,Female,F,2013,2013,2259550
,55 years,55,Female,F,2014,2014,2258619
,55 years,55,Female,F,2015,2015,2318599
,55 years,55,Female,F,2016,2016,2294639
,55 years,55,Female,F,2017,2017,2253855
,55 years,55,Female,F,2018,2018,2248963
Total,55 years,55,Female,F,,,40262491
,55 years,55,Male,M,1999,1999,1390616
,55 years,55,Male,M,2000,2000,1388812
,55 years,55,Male,M,2001,2001,1386854
,55 years,55,Male,M,2002,2002,1847760
,55 years,55,Male,M,2003,2003,1753341
,55 years,55,Male,M,2004,2004,1758586
,55 years,55,Male,M,2005,2005,1824610
,55 years,55,Male,M,2006,2006,1816409
,55 years,55,Male,M,2007,2007,1859281
,55 years,55,Male,M,2008,2008,1913592
,55 years,55,Male,M,2009,2009,1974783
,55 years,55,Male,M,2010,2010,2075036
,55 years,55,Male,M,2011,2011,2075876
,55 years,55,Male,M,2012,2012,2140389
,55 years,55,Male,M,2013,2013,2153054
,55 years,55,Male,M,2014,2014,2153432
,55 years,55,Male,M,2015,2015,2221954
,55 years,55,Male,M,2016,2016,2183614
,55 years,55,Male,M,2017,2017,2149254
,55 years,55,Male,M,2018,2018,2145020
Total,55 years,55,Male,M,,,38212273
Total,55 years,55,,,,,78474764
,56 years,56,Female,F,1999,1999,1510736
,56 years,56,Female,F,2000,2000,1451658
,56 years,56,Female,F,2001,2001,1463829
,56 years,56,Female,F,2002,2002,1463840
,56 years,56,Female,F,2003,2003,1941139
,56 years,56,Female,F,2004,2004,1850723
,56 years,56,Female,F,2005,2005,1863943
,56 years,56,Female,F,2006,2006,1930335
,56 years,56,Female,F,2007,2007,1936853
,56 years,56,Female,F,2008,2008,1980548
,56 years,56,Female,F,2009,2009,2048144
,56 years,56,Female,F,2010,2010,2108551
,56 years,56,Female,F,2011,2011,2174953
,56 years,56,Female,F,2012,2012,2179549
,56 years,56,Female,F,2013,2013,2242483
,56 years,56,Female,F,2014,2014,2250203
,56 years,56,Female,F,2015,2015,2249318
,56 years,56,Female,F,2016,2016,2309101
,56 years,56,Female,F,2017,2017,2284985
,56 years,56,Female,F,2018,2018,2244572
Total,56 years,56,Female,F,,,39485463
,56 years,56,Male,M,1999,1999,1423773
,56 years,56,Male,M,2000,2000,1365672
,56 years,56,Male,M,2001,2001,1383009
,56 years,56,Male,M,2002,2002,1382872
,56 years,56,Male,M,2003,2003,1844529
,56 years,56,Male,M,2004,2004,1753133
,56 years,56,Male,M,2005,2005,1761297
,56 years,56,Male,M,2006,2006,1830564
,56 years,56,Male,M,2007,2007,1824531
,56 years,56,Male,M,2008,2008,1870156
,56 years,56,Male,M,2009,2009,1927719
,56 years,56,Male,M,2010,2010,1984306
,56 years,56,Male,M,2011,2011,2058668
,56 years,56,Male,M,2012,2012,2059532
,56 years,56,Male,M,2013,2013,2123185
,56 years,56,Male,M,2014,2014,2135769
,56 years,56,Male,M,2015,2015,2136505
,56 years,56,Male,M,2016,2016,2204850
,56 years,56,Male,M,2017,2017,2166333
,56 years,56,Male,M,2018,2018,2132558
Total,56 years,56,Male,M,,,37368961
Total,56 years,56,,,,,76854424
,57 years,57,Female,F,1999,1999,1327155
,57 years,57,Female,F,2000,2000,1504630
,57 years,57,Female,F,2001,2001,1447922
,57 years,57,Female,F,2002,2002,1459583
,57 years,57,Female,F,2003,2003,1458769
,57 years,57,Female,F,2004,2004,1933353
,57 years,57,Female,F,2005,2005,1842786
,57 years,57,Female,F,2006,2006,1855370
,57 years,57,Female,F,2007,2007,1920539
,57 years,57,Female,F,2008,2008,1926122
,57 years,57,Female,F,2009,2009,1968595
,57 years,57,Female,F,2010,2010,2036395
,57 years,57,Female,F,2011,2011,2099407
,57 years,57,Female,F,2012,2012,2165747
,57 years,57,Female,F,2013,2013,2169625
,57 years,57,Female,F,2014,2014,2232528
,57 years,57,Female,F,2015,2015,2240108
,57 years,57,Female,F,2016,2016,2239209
,57 years,57,Female,F,2017,2017,2298420
,57 years,57,Female,F,2018,2018,2274643
Total,57 years,57,Female,F,,,38400906
,57 years,57,Male,M,1999,1999,1234061
,57 years,57,Male,M,2000,2000,1409060
,57 years,57,Male,M,2001,2001,1357485
,57 years,57,Male,M,2002,2002,1374045
,57 years,57,Male,M,2003,2003,1372827
,57 years,57,Male,M,2004,2004,1830349
,57 years,57,Male,M,2005,2005,1739222
,57 years,57,Male,M,2006,2006,1746603
,57 years,57,Male,M,2007,2007,1814344
,57 years,57,Male,M,2008,2008,1807079
,57 years,57,Male,M,2009,2009,1851260
,57 years,57,Male,M,2010,2010,1909865
,57 years,57,Male,M,2011,2011,1967418
,57 years,57,Male,M,2012,2012,2041319
,57 years,57,Male,M,2013,2013,2041913
,57 years,57,Male,M,2014,2014,2104858
,57 years,57,Male,M,2015,2015,2117662
,57 years,57,Male,M,2016,2016,2118381
,57 years,57,Male,M,2017,2017,2186051
,57 years,57,Male,M,2018,2018,2148167
Total,57 years,57,Male,M,,,36171969
Total,57 years,57,,,,,74572875
,58 years,58,Female,F,1999,1999,1252109
,58 years,58,Female,F,2000,2000,1338007
,58 years,58,Female,F,2001,2001,1500388
,58 years,58,Female,F,2002,2002,1444145
,58 years,58,Female,F,2003,2003,1456110
,58 years,58,Female,F,2004,2004,1455355
,58 years,58,Female,F,2005,2005,1929365
,58 years,58,Female,F,2006,2006,1839667
,58 years,58,Female,F,2007,2007,1852510
,58 years,58,Female,F,2008,2008,1918225
,58 years,58,Female,F,2009,2009,1924101
,58 years,58,Female,F,2010,2010,1963634
,58 years,58,Female,F,2011,2011,2026970
,58 years,58,Female,F,2012,2012,2089784
,58 years,58,Female,F,2013,2013,2155385
,58 years,58,Female,F,2014,2014,2159320
,58 years,58,Female,F,2015,2015,2221691
,58 years,58,Female,F,2016,2016,2229263
,58 years,58,Female,F,2017,2017,2227999
,58 years,58,Female,F,2018,2018,2287131
Total,58 years,58,Female,F,,,37271159
,58 years,58,Male,M,1999,1999,1160403
,58 years,58,Male,M,2000,2000,1242476
,58 years,58,Male,M,2001,2001,1399744
,58 years,58,Male,M,2002,2002,1348687
,58 years,58,Male,M,2003,2003,1365498
,58 years,58,Male,M,2004,2004,1364399
,58 years,58,Male,M,2005,2005,1819296
,58 years,58,Male,M,2006,2006,1728992
,58 years,58,Male,M,2007,2007,1736443
,58 years,58,Male,M,2008,2008,1804202
,58 years,58,Male,M,2009,2009,1797118
,58 years,58,Male,M,2010,2010,1838559
,58 years,58,Male,M,2011,2011,1892244
,58 years,58,Male,M,2012,2012,1949778
,58 years,58,Male,M,2013,2013,2022544
,58 years,58,Male,M,2014,2014,2022937
,58 years,58,Male,M,2015,2015,2085597
,58 years,58,Male,M,2016,2016,2098260
,58 years,58,Male,M,2017,2017,2098626
,58 years,58,Male,M,2018,2018,2165907
Total,58 years,58,Male,M,,,34941710
Total,58 years,58,,,,,72212869
,59 years,59,Female,F,1999,1999,1206474
,59 years,59,Female,F,2000,2000,1248733
,59 years,59,Female,F,2001,2001,1333019
,59 years,59,Female,F,2002,2002,1494071
,59 years,59,Female,F,2003,2003,1437588
,59 years,59,Female,F,2004,2004,1449103
,59 years,59,Female,F,2005,2005,1448128
,59 years,59,Female,F,2006,2006,1919090
,59 years,59,Female,F,2007,2007,1829151
